LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V03;37;08;8mm;5,02;4;314;314;BF2D@HjLIVING-MA.117@r01@i37@p478950@l3140@n4@e5.024@d8.0@gCA50@s32.00@v@Gl3140@w0@C79@
LIVING-MA.117;21869;V04;38;01;12,5mm;4,31;2;220;214;BF2D@HjLIVING-MA.117@r01@i38@p478952@l2200@n2@e4.312@d12.5@gCA50@s50.00@v@Gl380@w-90@l1450@w-90@l370@w0@C90@
LIVING-MA.117;21869;V04;39;02;12,5mm;4,35;2;222;216;BF2D@HjLIVING-MA.117@r01@i39@p478953@l2220@n2@e4.351@d12.5@gCA50@s50.00@v@Gl390@w-90@l1440@w-90@l390@w0@C81@
LIVING-MA.117;21869;V04;40;03;6,3mm;1,95;6;130;125;BF2D@HjLIVING-MA.117@r01@i40@p478954@l1300@n6@e1.95@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C75@
LIVING-MA.117;21869;V05;41;01;12,5mm;19,60;4;500;494;BF2D@HjLIVING-MA.117@r01@i41@p478956@l5000@n4@e19.6@d12.5@gCA50@s50.00@v@Gl390@w-90@l4220@w-90@l390@w0@C66@
LIVING-MA.117;21869;V05;42;02;12,5mm;3,23;1;330;330;BF2D@HjLIVING-MA.117@r01@i42@p478957@l3300@n1@e3.234@d12.5@gCA50@s50.00@v@Gl3300@w0@C66@
LIVING-MA.117;21869;V05;43;03;6,3mm;6,50;20;130;125;BF2D@HjLIVING-MA.117@r01@i43@p478958@l1300@n20@e6.5@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C76@
LIVING-MA.117;21869;V06;44;01;10mm;3,68;2;292;287;BF2D@HjLIVING-MA.117@r01@i44@p478960@l2920@n2@e3.679@d10.0@gCA50@s40.00@v@Gl330@w-90@l2260@w-90@l330@w0@C87@
LIVING-MA.117;21869;V06;45;02;10mm;3,58;2;284;279;BF2D@HjLIVING-MA.117@r01@i45@p478961@l2840@n2@e3.578@d10.0@gCA50@s40.00@v@Gl290@w-90@l2260@w-90@l290@w0@C76@
LIVING-MA.117;21869;V06;46;03;6,3mm;2,75;10;110;105;BF2D@HjLIVING-MA.117@r01@i46@p478962@l1100@n10@e2.75@d6.3@gCA50@s25.00@v@Gl60@w-120@l350@w-90@l140@w-90@l350@w-90@l140@w-120@l60@w0@C96@
LOCALIZADOR;PLAN.;ELEMENTO;OS;POSICAO;BITOLA;PESO (KG);QTDE;COMPR. UNIT.;Compr. Corte;QR CODE
LIVING-MA.117;21869;V07;47;01;12,5mm;4,76;2;243;240;BF2D@HjLIVING-MA.117@r01@i47@p478964@l2430@n2@e4.763@d12.5@gCA50@s50.00@v@Gl380@w-90@l2050@w0@C94@
LIVING-MA.117;21869;V07;48;02;20mm;28,50;3;380;380;BF2D@HjLIVING-MA.117@r01@i48@p478965@l3800@n3@e28.5@d20.0@gCA50@s300.00@v@Gl3800@w0@C86@
LIVING-MA.117;21869;V07;49;03;20mm;13,75;2;275;275;BF2D@HjLIVING-MA.117@r01@i49@p478966@l2750@n2@e13.75@d20.0@gCA50@s300.00@v@Gl2750@w0@C94@
LIVING-MA.117;21869;V07;50;04;12,5mm;9,80;2;500;497;BF2D@HjLIVING-MA.117@r01@i50@p478967@l5000@n2@e9.8@d12.5@gCA50@s50.00@v@Gl390@w-90@l4610@w0@C67@
LIVING-MA.117;21869;V07;51;05;12,5mm;16,66;4;425;425;BF2D@HjLIVING-MA.117@r01@i51@p478968@l4250@n4@e16.66@d12.5@gCA50@s50.00@v@Gl4250@w0@C76@
LIVING-MA.117;21869;V07;52;06;6,3mm;7,47;23;130;125;BF2D@HjLIVING-MA.117@r01@i52@p478969@l1300@n23@e7.475@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C91@
LIVING-MA.117;21869;V11;98;01;6,3mm;2,00;2;400;400;BF2D@HjLIVING-MA.117@r01@i98@p479019@l4000@n2@e2@d6.3@gCA50@s25.00@v@Gl4000@w0@C89@
LIVING-MA.117;21869;V11;99;02;12,5mm;7,37;4;188;185;BF2D@HjLIVING-MA.117@r01@i99@p479020@l1880@n4@e7.37@d12.5@gCA50@s50.00@v@Gl380@w-90@l1500@w0@C81@
LIVING-MA.117;21869;V11;100;03;16mm;22,66;2;708;700;BF2D@HjLIVING-MA.117@r01@i100@p479021@l7080@n2@e22.656@d16.0@gCA50@s240.00@v@Gl360@w-90@l6360@w-90@l360@w0@C72@
LIVING-MA.117;21869;V11;101;04;16mm;7,28;1;455;455;BF2D@HjLIVING-MA.117@r01@i101@p479022@l4550@n1@e7.28@d16.0@gCA50@s240.00@v@Gl4550@w0@C81@
LIVING-MA.117;21869;V11;102;05;6,3mm;10,07;31;130;125;BF2D@HjLIVING-MA.117@r01@i102@p479023@l1300@n31@e10.075@d6.3@gCA50@s25.00@v@Gl60@w-120@l450@w-90@l140@w-90@l450@w-90@l140@w-120@l60@w0@C92@
